"customer","product","q1_avg","q2_avg","q3_avg","q4_avg","average","total","count"
"Bloom","Bread","3266.750","539.000","2388.250","1106.000","2111.917","25343","12"
"Bloom","Butter",NULL,NULL,"2386.000","4279.000","3017.000","9051","3"
"Bloom","Coke","1078.500","2681.000","2669.000","2867.000","2338.889","21050","9"
"Bloom","Cookies",NULL,"2781.500","3287.000","2970.333","3069.111","27622","9"
"Bloom","Eggs","2819.000","3596.500","2184.500","1053.333","2504.818","27553","11"
"Bloom","Fruits","2242.833","1933.000","2994.000","2926.000","2471.235","42011","17"
"Bloom","Milk","3215.333","2376.667","1106.000","3009.833","2764.692","35941","13"
"Bloom","Pepsi","526.000","1867.500","794.000","4373.500","1923.750","15390","8"
"Bloom","Soap","4623.000","2310.000","328.500","4364.000","2377.333","14264","6"
"Bloom","Yogurt","1660.000","2623.000","2397.667","1785.500","2208.750","17670","8"
"Emily","Bread","492.000","1720.200","807.000","2318.000","1534.300","15343","10"
"Emily","Butter","1490.250","2869.000","3053.333","2862.000","2316.889","20852","9"
"Emily","Coke","2398.000","3314.000","4379.000","999.000","2409.000","21681","9"
"Emily","Cookies","3130.667","3759.667","1716.000","2420.857","2672.813","42765","16"
"Emily","Eggs","4535.000","2714.500","3230.500","2038.800","2756.667","33080","12"
"Emily","Fruits","2919.000","2243.333","2749.500","2873.250","2696.846","35059","13"
"Emily","Milk","2589.000","2580.667","1996.667","4986.000","2663.375","21307","8"
"Emily","Pepsi","3842.000","2373.667",NULL,"4135.000","3254.571","22782","7"
"Emily","Soap","3218.000","2549.000","1531.333","2976.333","2411.250","19290","8"
"Emily","Yogurt","3079.000","2650.000","2161.000","730.000","2358.571","16510","7"
"Helen","Bread","3530.000","2647.600",NULL,"2754.667","2781.333","25032","9"
"Helen","Butter","2039.625","2886.333","1913.000","906.500","1908.773","41993","22"
"Helen","Coke","2708.000","1999.400","2799.500","3108.600","2617.533","39263","15"
"Helen","Cookies",NULL,NULL,"2179.667","1179.000","1779.400","8897","5"
"Helen","Eggs","813.000","2326.750",NULL,"2320.333","2135.125","17081","8"
"Helen","Fruits","1569.500","2000.000",NULL,"2141.500","1840.111","16561","9"
"Helen","Milk","3312.000","807.333","3314.000","981.000","2103.250","25239","12"
"Helen","Pepsi","3129.500","2396.500","2768.000","2435.250","2662.538","34613","13"
"Helen","Soap","3452.500",NULL,"2990.000","1209.333","2499.222","22493","9"
"Helen","Yogurt","2332.333","3174.000","2903.667","2247.000","2655.000","26550","10"
"Knuth","Bread","3365.500","3283.250","1579.000","1404.500","2713.500","32562","12"
"Knuth","Butter","1374.000","894.500",NULL,"1504.000","1257.500","7545","6"
"Knuth","Coke","3559.333","2676.400","1511.500","2788.667","2726.846","35449","13"
"Knuth","Cookies","2362.500","2977.667","3708.500","1668.667","2608.100","26081","10"
"Knuth","Eggs","4050.500","1238.500","3532.000","2254.200","2538.100","25381","10"
"Knuth","Fruits","2757.667","1856.500","1174.500","2279.333","1847.929","25871","14"
"Knuth","Milk","92.000","2424.000",NULL,"1088.000","924.000","3696","4"
"Knuth","Pepsi","3213.500","2467.750","2982.400","1595.500","2646.231","34401","13"
"Knuth","Soap","877.500","1519.000","1002.000","2620.400","1856.000","20416","11"
"Knuth","Yogurt","3903.000","1787.250","3705.000","2497.000","2644.625","21157","8"
"Sam","Bread","1378.000","2734.500","1621.750","93.000","1678.375","13427","8"
"Sam","Butter","673.000","4056.000","4893.000","1983.500","2701.500","21612","8"
"Sam","Coke","2670.000","1480.500","3053.000",NULL,"2270.800","11354","5"
"Sam","Cookies","2523.000","408.000",NULL,"2222.500","1747.000","12229","7"
"Sam","Eggs","2481.667","2238.500","1190.500","4674.000","2372.125","18977","8"
"Sam","Fruits",NULL,"3743.000","3611.000","3217.167","3387.900","33879","10"
"Sam","Milk","1744.800","598.000","2125.333","2431.000","1814.538","23589","13"
"Sam","Pepsi","2441.667","2332.000","3954.333","3166.000","2988.308","38848","13"
"Sam","Soap","1994.000","2878.333","3108.000","694.000","2201.364","24215","11"
"Sam","Yogurt","2126.000","2735.250","2000.000",NULL,"2368.778","21319","9"
